L0,Page Type,Type Template,Value Template,Key
home-living,brand_series_gender,h1,Giá [[brand]] [[series]] [[gender]] Online,plp.home-living.default_brand_series_gender_h1
home-living,brand_series_model_gender,title,[[brand]] [[series]] [[model]] cho [[gender]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.home-living.default_brand_series_model_gender_title
home-living,brand_series_model_gender,meta,Mua sắm [[brand]] [[series]] [[model]] cho [[gender]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.home-living.default_brand_series_model_gender_meta
home-living,brand_series_model_gender,h1,[[brand]] [[series]] [[model]] cho [[gender]],plp.home-living.default_brand_series_model_gender_h1
home-living,brand_series_category,title,[[category]] [[brand]] [[series]] chính hãng | [[category]] [[brand]] [[series]] giá ưu đãi,plp.home-living.default_brand_series_category_title
home-living,brand_series_category,meta,Giá [[category]] [[brand]] [[series]]  chính hãng | So sánh giá [[category]] [[brand]] [[series]] 💰 từ[[merchant1]][[merchant2]] ⚖ | Tiết kiệm [[discount]],plp.home-living.default_brand_series_category_meta
home-living,brand_series_category,h1,Giá [[category]] [[brand]] [[series]],plp.home-living.default_brand_series_category_h1
home-living,brand_series_model_category,title,Sản phẩm [[category]] [[brand]] [[series]] [[model]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.home-living.default_brand_series_model_category_title
home-living,brand_series_model_category,meta,Mua sắm sản phẩm [[category]] [[brand]] [[series]] [[model]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.home-living.default_brand_series_model_category_meta
home-living,brand_series_model_category,h1,[[category]] [[brand]] [[series]] [[model]],plp.home-living.default_brand_series_model_category_h1
home-living,brand_series_category_gender,title,"[[category]] [[brand]] [[series]] [[gender]] chính hãng | Ưu đãi tốt, giá hấp dẫn",plp.home-living.default_brand_series_category_gender_title
home-living,brand_series_category_gender,meta,Giá [[category]] [[brand]] [[series]] [[gender]] chính hãng giá ưu đãi ✅ Khuyến mãi hơn [[max]] discount | Mua sắm online tiện lợi 💰,plp.home-living.default_brand_series_category_gender_meta
home-living,brand_series_category_gender,h1,Giá [[category]] [[brand]] [[series]] [[gender]],plp.home-living.default_brand_series_category_gender_h1
